sampleID,siteID,instrumentID,reporterID,dateTime,dateTimeStart,dateTimeEnd,type,typeOther,collection,collectionOther,preTreatment,preTreatmentDescription,pooled,children,parent,sizeL,fieldSampleTempC,shippedOnIce,storageTempC,qualityFlag,notes
VLG_20220130,VLG,autosamplerVLG,NA,NA,2022-01-30 00:00:00,2022-01-31 00:00:00,NA,NA,NA,NA,0,NA,0,NA,NA,1,NA,1,-20,NA,NA
VLI_20220130,VLI,autosamplerVLI,NA,NA,2022-01-30 07:30:00,2022-01-31 07:30:00,NA,NA,NA,NA,0,NA,0,NA,NA,1,NA,1,-20,NA,NA
VNL_20220130,VNL,autosamplerVNL,NA,NA,2022-01-30 07:30:00,2022-01-31 07:30:00,NA,NA,NA,NA,0,NA,0,NA,NA,1,NA,1,-20,NA,NA
EGB_20220127,EGB,autosamplerEGB,NA,NA,2022-01-27 00:00:00,2022-01-28 00:00:00,NA,NA,NA,NA,0,NA,0,NA,NA,1,NA,1,-20,NA,NA
EGB_20220130,EGB,autosamplerEGB,NA,NA,2022-01-30 00:00:00,2022-01-31 00:00:00,NA,NA,NA,NA,0,NA,0,NA,NA,1,NA,1,-20,NA,NA
TAB_20220130,TAB,autosamplerTAB,NA,NA,2022-01-30 17:00:00,2022-01-31 17:00:00,NA,NA,NA,NA,0,NA,0,NA,NA,1,NA,1,-20,NA,NA
THU_20220130,THU,autosamplerTHU,NA,NA,2022-01-30 00:00:00,2022-01-31 00:00:00,NA,NA,NA,NA,0,NA,0,NA,NA,1,NA,1,-20,NA,NA
TNT_20220130,TNT,autosamplerTNT,NA,NA,2022-01-30 17:00:00,2022-01-31 17:00:00,NA,NA,NA,NA,0,NA,0,NA,NA,1,NA,1,-20,NA,NA
HDA_20220131,HDA,autosamplerHDA,NA,NA,2022-01-31 09:00:00,2022-02-01 09:00:00,NA,NA,NA,NA,0,NA,0,NA,NA,1,NA,1,-20,NA,NA
HHA_20220131,HHA,autosamplerHHA,NA,NA,2022-01-31 06:00:00,2022-02-01 06:00:00,NA,NA,NA,NA,0,NA,0,NA,NA,1,NA,1,-20,NA,NA
THU_20210401,THU1,autosamplerTHU,,,2021-04-01 00:00:00,2021-04-02 00:00:00,,,,,0,,0,,,1,,1,-20,,
TAB_20210406,TAB2,autosamplerTAB,NA,NA,2021-04-06 17:00:00,2021-04-07 17:00:00,NA,NA,NA,NA,0,NA,0,NA,NA,1,NA,1,-20,NA,NA
