uWWMeasureID,reportDate,sampleID,type,value,unit,fractionAnalyzed,aggregation,qualityFlag,reporterID,instrumentID,labID,assayMethodID,accessToPublic,accessToAllOrgs,accessToPHAC,accessToLocalHA,accessToProvHA,accessToOtherProv,analysisDate,typeOther,unitOther,aggregationOther,index,accessToSelf,accessToDetails,notes
covN1TAB,2021-04-09,TAB_20210401,covN1,52.53004360995107,gcML,solid,mean,0,PHACCM,quantStudio5,MangatChNML,solidsNML,1,1,1,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA
covN1TAB,2021-04-09,TAB_20210404,covN1,74.89257404369056,gcML,solid,mean,0,PHACCM,quantStudio5,MangatChNML,solidsNML,1,1,1,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA
covN1THC,2021-04-09,THC_20210401,covN1,141.2135649470602,gcML,solid,mean,0,PHACCM,quantStudio5,MangatChNML,solidsNML,1,1,1,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA
covN1THC,2021-04-09,THC_20210404,covN1,150.3663538076423,gcML,solid,mean,0,PHACCM,quantStudio5,MangatChNML,solidsNML,1,1,1,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA
covN1THU,2021-04-09,THU_20210401,covN1,53.62124979825546,gcML,solid,mean,0,PHACCM,quantStudio5,MangatChNML,solidsNML,1,1,1,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA
covN1THU,2021-04-09,THU_20210404,covN1,171.6035739720573,gcML,solid,mean,0,PHACCM,quantStudio5,MangatChNML,solidsNML,1,1,1,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA
covN1TNT,2021-04-09,TNT_20210401,covN1,18.74871652685612,gcML,solid,mean,0,PHACCM,quantStudio5,MangatChNML,solidsNML,1,1,1,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA
covN1TNT,2021-04-09,TNT_20210404,covN1,79.00163498254706,gcML,solid,mean,0,PHACCM,quantStudio5,MangatChNML,solidsNML,1,1,1,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA
covN1EGB,2021-04-12,EGB_20210404,covN1,24.39050685434427,gcML,solid,mean,0,PHACCM,quantStudio5,MangatChNML,solidsNML,1,1,1,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA
covN1TAB,2021-04-13,TAB_20210406,covN1,96.76379412411211,gcML,solid,mean,0,PHACCM,quantStudio5,MangatChNML,solidsNML,1,1,1,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA
